"Tabela 5442 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos no trabalho principal, por grupamentos de atividade no trabalho principal"
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)"
"Trimestre";"";"Grupamento de atividades no trabalho principal - PNADC"
"Trimestre";"";"Total";"Agricultura, pecuária, produção florestal, pesca e aquicultura";"Indústria geral";"Indústria de transformação";"Construção";"Comércio, reparação de veículos automotores e motocicletas";"Transporte, armazenagem e correio";"Alojamento e alimentação";"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas";"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais";"Outro serviço";"Serviço doméstico";"Atividades mal definidas"
"3º trimestre 2014";"Brasil";"2799";"1598";"2922";"2801";"2320";"2400";"2999";"2117";"4084";"3998";"2311";"1136";"2594"
"4º trimestre 2014";"Brasil";"2793";"1612";"2798";"2693";"2345";"2429";"3058";"2085";"4113";"4002";"2288";"1139";"3449"
"1º trimestre 2015";"Brasil";"2793";"1627";"2904";"2820";"2311";"2427";"2948";"2018";"4090";"4038";"2267";"1143";"2481"
"2º trimestre 2015";"Brasil";"2778";"1564";"2908";"2792";"2272";"2361";"2898";"1985";"4081";"4045";"2226";"1130";"2859"
"3º trimestre 2015";"Brasil";"2743";"1548";"2856";"2757";"2269";"2343";"2889";"2032";"3955";"4014";"2225";"1112";"1482"
"4º trimestre 2015";"Brasil";"2707";"1546";"2852";"2760";"2308";"2283";"2865";"1986";"3978";"4002";"2183";"1114";"2308"
"1º trimestre 2016";"Brasil";"2710";"1491";"2826";"2733";"2304";"2295";"2836";"1948";"4144";"4004";"2095";"1143";"3767"
"2º trimestre 2016";"Brasil";"2678";"1473";"2777";"2708";"2325";"2279";"2816";"1930";"3930";"4006";"2067";"1124";"2452"
"3º trimestre 2016";"Brasil";"2701";"1541";"2825";"2743";"2238";"2308";"2821";"1902";"4002";"3996";"2115";"1122";"2095"
"4º trimestre 2016";"Brasil";"2719";"1582";"2719";"2634";"2306";"2323";"2865";"1922";"4102";"4055";"2084";"1120";"1867"
"1º trimestre 2017";"Brasil";"2754";"1605";"2816";"2734";"2242";"2335";"2748";"1925";"4143";"4151";"2164";"1141";"2065"
"2º trimestre 2017";"Brasil";"2722";"1674";"2813";"2721";"2253";"2300";"2776";"1885";"4010";"4065";"2093";"1139";"1855"
"3º trimestre 2017";"Brasil";"2731";"1659";"2838";"2734";"2236";"2300";"2718";"1866";"4126";"4047";"2094";"1129";"1563"
"4º trimestre 2017";"Brasil";"2747";"1626";"2868";"2755";"2262";"2322";"2812";"1820";"4101";"4101";"2145";"1139";"1220"
"1º trimestre 2018";"Brasil";"2775";"1624";"2919";"2785";"2254";"2279";"2792";"1894";"4180";"4190";"2134";"1166";"2200"
"2º trimestre 2018";"Brasil";"2774";"1609";"2892";"2777";"2223";"2280";"2797";"1923";"4113";"4227";"2128";"1140";"2438"
"3º trimestre 2018";"Brasil";"2769";"1632";"2909";"2777";"2223";"2301";"2761";"1867";"4097";"4218";"2101";"1118";"3139"
"4º trimestre 2018";"Brasil";"2785";"1643";"2851";"2718";"2183";"2291";"2782";"1875";"4157";"4285";"2136";"1127";"2258"
"1º trimestre 2019";"Brasil";"2802";"1668";"2918";"2779";"2179";"2320";"2786";"1807";"4080";"4326";"2186";"1154";"4662"
"2º trimestre 2019";"Brasil";"2765";"1669";"2862";"2737";"2203";"2289";"2788";"1771";"4023";"4257";"2092";"1128";"4178"
"3º trimestre 2019";"Brasil";"2771";"1615";"2851";"2719";"2247";"2306";"2745";"1822";"4052";"4276";"2103";"1121";"1802"
"4º trimestre 2019";"Brasil";"2792";"1670";"2907";"2759";"2168";"2311";"2760";"1864";"4129";"4291";"2159";"1120";"1576"
"1º trimestre 2020";"Brasil";"2832";"1718";"2981";"2853";"2216";"2353";"2758";"1850";"4131";"4259";"2201";"1124";"1925"
"2º trimestre 2020";"Brasil";"2961";"1743";"3166";"3001";"2356";"2403";"2813";"1909";"4053";"4342";"2323";"1145";"2333"
"3º trimestre 2020";"Brasil";"2995";"1741";"3234";"3071";"2215";"2454";"2664";"1836";"4349";"4471";"2147";"1109";"1494"
"4º trimestre 2020";"Brasil";"2881";"1733";"3054";"2910";"2121";"2314";"2556";"1761";"4167";"4394";"2124";"1053";"2732"
"1º trimestre 2021";"Brasil";"2848";"1698";"2850";"2701";"2047";"2279";"2546";"1881";"4031";"4491";"2119";"1067";"2237"
"2º trimestre 2021";"Brasil";"2761";"1671";"2782";"2661";"2016";"2209";"2484";"1696";"4115";"4276";"2018";"1058";"1822"
"3º trimestre 2021";"Brasil";"2655";"1682";"2757";"2627";"2052";"2151";"2571";"1706";"3928";"4033";"2014";"1025";"2019"
"4º trimestre 2021";"Brasil";"2567";"1630";"2565";"2444";"2043";"2148";"2556";"1691";"3781";"3845";"2004";"1029";"2404"
"1º trimestre 2022";"Brasil";"2614";"1728";"2641";"2516";"2166";"2217";"2526";"1786";"3848";"3784";"2047";"1061";"1759"
"2º trimestre 2022";"Brasil";"2631";"1720";"2613";"2490";"2135";"2231";"2639";"1750";"3899";"3801";"2161";"1056";"1780"
"3º trimestre 2022";"Brasil";"2722";"1904";"2701";"2567";"2169";"2330";"2675";"1742";"4048";"3895";"2194";"1073";"3560"
"4º trimestre 2022";"Brasil";"2778";"1854";"2725";"2577";"2317";"2303";"2778";"1854";"4146";"4006";"2196";"1096";"2711"
"1º trimestre 2023";"Brasil";"2799";"1842";"2741";"2596";"2250";"2384";"2671";"1948";"4144";"4020";"2266";"1117";"2755"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

"Notas"
"A partir do 4º trimestre de 2015, em acordo com as recomendações da 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, da OIT, pessoas em licença remunerada, independentemente do tempo de afastamento, passaram a ser classificadas como ""ocupadas"" e seus rendimentos do trabalho foram coletados normalmente. Anteriormente, as pessoas em licença remunerada na semana de referência da pesquisa e que estavam afastadas por período inferior a 4 meses eram classificadas como ""ocupadas"". Caso esse afastamento fosse igual ou superior a 4 meses, essas pessoas eram definidas como ""fora da força de trabalho"" e, portanto, não se investigava o rendimento do trabalho.
Além disso, a partir do 4º trimestre de 2015, também passaram a ser classificadas como ""ocupadas"" as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de parente, adicionalmente àquelas que ajudaram no trabalho remunerado de outro morador do mesmo domicílio. Anteriormente, eram consideradas ""ocupadas"" apenas as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de outro morador do mesmo domicílio.
Os grupamentos de atividade ""Administração pública, defesa e seguridade"" e ""Educação, saúde humana e serviços sociais"" foram agrupados para melhorar a precisão da estimativa.
O valor efetivo se refere ao valor recebido no mês anterior ao da coleta.
Para cálculo do valor real é utilizado o deflator da média do último trimestre de coleta divulgado, conforme a Nota Técnica (maio/2015 - atualizada em 16/10/2018).
A partir de 30 de novembro de 2021, essas estimativas passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica deste indicador foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
